id_page;source;followers;date;interactions;posttype;link;v7;id_article
pg_1;-  CIRCOLO  LA LOMBARDIA ATTIVA -;475;Thu Nov 05 2020 23:44:40 GMT+0000;2;Facebook;https://www.facebook.com/groups/1980248708868313/permalink/3212733052286533;128;CT_128
pg_10;#IlMioVotoConta;4540;Thu Oct 15 2020 20:54:14 GMT+0000;0;Facebook;https://www.facebook.com/groups/552746508454213/permalink/1230242437371280;4;CT_4
pg_100;Amazing;95412;Thu Oct 29 2020 14:01:08 GMT+0000;1;Facebook;https://www.facebook.com/Fantasia20019/posts/3524733517588026;18;CT_18
pg_1000;Informati sulla geoingegneria clandestina Marche;15872;Fri Mar 20 2020 10:00:16 GMT+0000;136;Facebook;https://www.facebook.com/1788595904707839/posts/2648063192094435;8;CT_8
pg_1000;Informati sulla geoingegneria clandestina Marche;23993;Fri Jul 31 2020 15:00:11 GMT+0000;330;Facebook;https://www.facebook.com/1788595904707839/posts/2765586827008737;64;CT_64
pg_1000;Informati sulla geoingegneria clandestina Marche;31889;Sat Nov 07 2020 16:00:12 GMT+0000;319;Facebook;https://www.facebook.com/1788595904707839/posts/2779522322281854;64;CT_64
pg_1000;Informati sulla geoingegneria clandestina Marche;31725;Wed Nov 04 2020 16:00:04 GMT+0000;834;Facebook;https://www.facebook.com/1788595904707839/posts/2854265268140892;65;CT_65
pg_1000;Informati sulla geoingegneria clandestina Marche;26570;Sat Aug 29 2020 21:00:30 GMT+0000;1879;Facebook;https://www.facebook.com/1788595904707839/posts/2698762413691179;169;CT_169
pg_1000;Informati sulla geoingegneria clandestina Marche;31283;Thu Oct 29 2020 22:00:06 GMT+0000;1652;Facebook;https://www.facebook.com/1788595904707839/posts/2808542286046524;169;CT_169
pg_1000;Informati sulla geoingegneria clandestina Marche;17862;Wed Apr 29 2020 21:00:09 GMT+0000;167;Facebook;https://www.facebook.com/1788595904707839/posts/2532680606966028;169;CT_169
pg_1000;Informati sulla geoingegneria clandestina Marche;13824;Tue Oct 29 2019 22:00:26 GMT+0000;27;Facebook;https://www.facebook.com/1788595904707839/posts/2509876422579780;169;CT_169
pg_1001;INFORMATICI per C@SO;3334;Thu Oct 22 2020 14:21:25 GMT+0000;2;Facebook;https://www.facebook.com/groups/64407582562/permalink/10157100164372563;33;CT_33
pg_1001;INFORMATICI per C@SO;3333;Thu Oct 29 2020 15:03:58 GMT+0000;1;Facebook;https://www.facebook.com/groups/64407582562/permalink/10157113979652563;33;CT_33
pg_1001;INFORMATICI per C@SO;0;Fri Feb 07 2020 18:28:53 GMT+0000;1;Facebook;https://www.facebook.com/groups/64407582562/permalink/10156434839737563;95;CT_95
pg_1002;Informazione Alternativa;10517;Thu Oct 22 2020 02:59:08 GMT+0000;4;Facebook;https://www.facebook.com/Info.Alternativa13/posts/3417820564950851;47;CT_47
pg_1002;Informazione Alternativa;10517;Wed Oct 14 2020 19:08:28 GMT+0000;21;Facebook;https://www.facebook.com/Info.Alternativa13/posts/3398638476869060;48;CT_48
pg_1002;Informazione Alternativa;11882;Mon Nov 09 2020 17:23:05 GMT+0000;35;Facebook;https://www.facebook.com/Info.Alternativa13/posts/3468853099847597;94;CT_94
pg_1002;Informazione Alternativa;11383;Fri Oct 30 2020 16:27:52 GMT+0000;85;Facebook;https://www.facebook.com/Info.Alternativa13/posts/3440923472640560;135;CT_135
pg_1002;Informazione Alternativa;11929;Mon Nov 16 2020 20:03:46 GMT+0000;140;Facebook;https://www.facebook.com/Info.Alternativa13/posts/3488926081173632;153;CT_153
pg_1002;Informazione Alternativa;11935;Tue Nov 17 2020 19:56:37 GMT+0000;10;Facebook;https://www.facebook.com/Info.Alternativa13/posts/3491694660896774;171;CT_171
pg_1002;Informazione Alternativa;11929;Mon Nov 16 2020 20:03:46 GMT+0000;141;Facebook;https://www.facebook.com/Info.Alternativa13/posts/3488926081173632;172;CT_172
pg_1003;Informazione Campania;2669;Thu Nov 12 2020 10:28:57 GMT+0000;0;Facebook;https://www.facebook.com/groups/407291995990526/permalink/3370416186344744;117;CT_117
pg_1003;Informazione Campania;2669;Fri Nov 13 2020 18:48:34 GMT+0000;0;Facebook;https://www.facebook.com/groups/407291995990526/permalink/3374565882596441;117;CT_117
pg_1004;Informazione Conoscenza Libert«ˇ;1190;Thu Oct 15 2020 11:54:13 GMT+0000;5;Facebook;https://www.facebook.com/groups/384753861955462/permalink/1043187432778765;4;CT_4
